Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YBR106W	989.404	902.758	866.894	627.162	1490.778	1582.333	1348.457	1090.298	1112.2605
YBR107C	3.979	3.001	13.708	13.911	25.142	23.655	33.091	39.813	19.5375
YBR108W	15.312	10.145	36.089	30.314	7.022	5.258	11.472	14.789	16.300124999999998
YBR109C	685.268	680.08	901.267	1119.954	336.813	338.668	601.335	512.419	646.9755
YBR110W	27.44	26.753	40.329	46.408	115.695	116.523	130.234	156.897	82.534875
YBR111C	187.295	195.456	525.015	591.313	268.522	247.139	678.256	748.904	430.23749999999995
YBR111W-A	124.704	115.712	154.152	294.111	262.119	158.326	201.204	222.82	191.6435
YBR114W	4.463	6.412	6.941	8.256	13.636	10.58	17.184	9.215	9.585875
YBR115C	79.579	69.663	97.051	67.062	25.875	27.483	25.937	28.388	52.62975
YBR117C	0.0	0.465	4.953	1.436	2.355	2.757	2.847	1.85	2.082875
YBR119W	18.737	16.945	18.732	22.281	50.898	35.933	31.802	26.305	27.704124999999998
YBR120C	46.775	51.695	54.233	97.837	102.449	69.576	49.872	67.718	67.51937500000001
YBR121C	314.696	324.077	201.646	231.409	406.369	438.553	384.232	395.285	337.033375
YBR122C	54.933	73.4	96.995	119.803	294.4	268.634	241.48	266.977	177.07774999999998
YBR123C	20.514	20.317	14.291	23.605	40.243	32.398	42.413	47.22	30.125125
YBR125C	21.884	15.006	10.71	14.076	65.765	68.913	40.379	50.122	35.856874999999995
YBR126C	140.699	119.883	661.247	900.099	117.004	104.405	365.472	450.541	357.41875
YBR127C	590.774	625.172	708.987	708.816	346.309	369.242	529.826	543.143	552.783625
YBR128C	2.271	1.224	8.559	8.036	17.277	20.147	38.232	34.904	16.33125
YBR129C	32.153	22.456	46.157	49.564	192.3	148.444	157.991	156.607	100.70899999999999
YBR130C	63.949	60.233	49.532	52.848	53.296	38.159	63.769	41.102	52.861
YBR131W	3.338	3.747	2.396	3.242	22.134	21.471	14.321	11.929	10.32225
YBR132C	13.137	14.156	49.505	63.973	8.455	6.928	22.112	20.892	24.894750000000002
YBR133C	10.186	8.551	6.631	6.507	26.61	27.824	20.169	23.533	16.251375
YBR135W	85.42	59.969	75.246	77.568	81.78	75.081	61.507	54.576	71.39337499999999
YBR136W	2.734	2.589	2.497	2.689	6.397	4.607	4.429	4.144	3.76075
YBR137W	64.103	86.636	170.786	208.917	151.292	145.332	350.681	368.854	193.325125
YBR138C	14.19	11.267	23.318	26.732	39.763	31.151	42.886	53.378	30.335625
YBR139W	32.737	34.446	233.039	248.459	31.998	27.328	139.562	169.289	114.60725000000001
YBR140C	3.934	4.171	5.328	5.968	8.093	7.727	10.554	10.612	7.048375000000001
YBR141C	15.649	12.803	2.496	4.342	33.233	34.18	16.068	9.942	16.089125
YBR142W	47.384	51.878	4.911	7.382	80.056	76.292	19.066	13.583	37.569
YBR143C	374.539	382.129	188.855	166.127	640.903	607.351	388.984	333.251	385.267375
YBR145W	13.358	12.895	122.248	113.049	52.104	42.696	93.682	148.78	74.8515
YBR146W	61.766	58.615	78.591	88.222	115.804	94.222	97.288	102.336	87.10549999999999
YBR147W	0.0	0.711	19.88	21.408	9.26	10.749	67.901	79.652	26.195124999999997
YBR148W	8.357	7.447	5.537	2.408	7.899	5.24	3.182	3.906	5.497
YBR149W	99.945	110.45	535.58	495.385	81.732	68.608	380.068	388.818	270.07325000000003
YBR151W	41.401	46.276	115.759	143.507	192.334	187.528	368.296	398.8	186.737625
YBR152W	10.061	17.345	11.554	21.215	25.899	24.117	14.609	14.86	17.4575
YBR153W	15.981	10.762	20.646	25.939	119.677	105.73	60.123	62.247	52.638125
YBR154C	295.347	324.598	144.36	125.94	791.907	601.578	392.875	255.767	366.5465
YBR155W	81.225	74.669	22.956	24.932	51.681	37.238	31.162	19.593	42.931999999999995
YBR156C	10.1	9.523	11.478	14.946	10.505	7.667	11.666	6.216	10.262624999999998
YBR157C	32.886	29.667	16.468	32.467	120.812	131.998	60.575	44.821	58.711749999999995
YBR158W	38.855	42.252	33.006	44.805	244.013	248.491	126.347	115.156	111.615625
YBR159W	126.671	155.301	184.264	199.167	385.382	360.064	428.078	408.81	280.967125
YBR160W	56.989	55.761	57.83	84.515	171.694	167.388	143.975	169.944	113.512
